og_species,og_family,og_longevity,SE_long,Quality,Site,Lat,Lon,alt_m,Habitat,reference,Exotic,self_incom,Nectar,notes,longev_univisit,long_unv_SE,Duration,sources,mean_long_days,og_species_patch
Adenophora.capillaris,Campanulaceae,6,NA,NA,"Shangri-La Alpine BG, Yunnan (China)",27.90638889,99.64166667,3200,Alpine meadow,Liu & Huang (2013). Oecologia 173: 1411-1423.,NA,SC Xen,1,late Jun-early Sep.,NA,NA,NA,marcoshighquality,6,Adenophora capillaris
Adenophora.jasionifolia,Campanulaceae,3.5,NA,NA,"Shangri-La Alpine BG, Yunnan (China)",27.90638889,99.64166667,3200,Alpine meadow,Liu & Huang (2013). Oecologia 173: 1411-1423.,NA,SC Xen,1,late Jun-early Sep.,NA,NA,NA,marcoshighquality,3.5,Adenophora jasionifolia
Adenophora.khasiana,Campanulaceae,5,NA,NA,"Shangri-La Alpine BG, Yunnan (China)",27.90638889,99.64166667,3200,Alpine meadow,Liu & Huang (2013). Oecologia 173: 1411-1423.,NA,SC Xen,1,late Jun-early Sep.,NA,NA,NA,marcoshighquality,5,Adenophora khasiana
Adenophora.triphylla.var.japonica,Campanulaceae,3 to 5,NA,NA,Sudagaira Mountain RC (Japan),36.51666667,138.3333333,1300,Temperate meadow,Funamoto & Ohashi (2017). Plant Biol 19: 767-774.,NA,NA,NA,NA,NA,NA,Open at dusk,marcoshighquality,4,Adenophora triphylla var japonica
Adonis.ramosa,Ranunculaceae,13.3,NA,1,"Forestry and Forest Products Research Inst. experimental forest, Hokkaido (Japan)",42.96666667,141.3833333,140,Temperate forest,Kudo (1995). Oikos 72: 14-20.,NA,SC,0,Apr.,NA,NA,NA,marcoshighquality,13.3,Adonis ramosa
Aechmea.lasseri,Bromeliaceae,17 to 19 h,NA,1,PN Henri Pittier (Venezuela),10.35,-67.68333333,1000 to 1400,Cloud forest,Seres & Ramírez (1995). Ann. MO Bot. Gard. 82: 61-81.,NA,SI,1,"Maximum longevity given. Dec-Jun (from Seres & Ramírez, 1993). Mating system from Ramírez & Seres (1994).",NA,NA,NA,marcoshighquality,0.75,Aechmea lasseri
Aechmea.mariae-reginae,Bromeliaceae,0.5,NA,NA,Cerros La Carpintera (Costa Rica),9.888888889,-83.96944444,1600 to 1800,Cool montane humid forest,Cascante-Marín et al. (2020). Bot. J. Linn. Soc. 192: 773-786.,NA,NA,1,May-June. D species. Data are valid for both sexes.,NA,NA,Open before dawn,marcoshighquality,0.5,Aechmea mariae-reginae
Aechmea.pectinata,Bromeliaceae,0.541666667,NA,NA,"PE Serra do Mar, Sao Paulo (Brazil)",-23.36666667,-44.83333333,sea level,Atlantic forest,Canela & Sazima (2003). Ann. Bot. 92: 731-737.,NA,SI,1,Late Oct-mid Jan. Effective corolla length.,NA,NA,Open before dawn,marcoshighquality,0.541666667,Aechmea pectinata
Aechmea.vanhoutteana,Bromeliaceae,0.375,NA,NA,"Itatiaia NP, Rio de Janeiro-Minas Gerais (Brazil)",NA,NA,NA,Montane tropical rainforest,Zambon et al. (2020). Bot. J. Linn. Soc. 192: 803-815.,NA,NA,1,NA,NA,NA,Open at dawn,marcoshighquality,0.375,Aechmea vanhoutteana
Agalinis.auriculata,Orobanchaceae,4 to 5 h,NA,1,"Maryville, MO (USA)",40.43053333,-94.85709444,NA,Prairie,Dieringer & Cabrera R. (2022). Int. J. Linn. Soc. 183: 719-728.,NA,SC Xen,0,NA,NA,NA,Open at 0700 to 0930,marcoshighquality,0.1875,Agalinis auriculata
Agarista.revoluta,Ericaceae,4,NA,NA,"EPA of Maricá, Rio de Janeiro (Brazil)",-22.95,-42.85833333,NA,Restinga,Moreira et al. (2017). Flora 234: 7-14.,NA,NA,NA,Corolla dimensions are provided.,NA,NA,NA,marcoshighquality,4,Agarista revoluta
Agave.macroacantha,Asparagaceae,5.712916667,0.354583333,NA,"Zapotitlán de las Salinas, Puebla (Mexico)",18.33333333,-97.46666667,NA,Desert,Arizaga et al. (2000). Amer. J. Bot. 87: 1004-1010.,NA,SI,1,May-Jul.,NA,NA,NA,marcoshighquality,5.712916667,Agave macroacantha
Ajuga.chamaepitys,Lamiaceae,2 to 3,NA,NA,"University of Córdoba, Córdoba(Spain)",NA,NA,NA,Greenhouse,Ruiz de Clavijo (1995). Int. J. Plant Sci. 158: 282-291.,NA,SC,0,"Dec-Feb, Apr-Jun (different cohorts).",NA,NA,NA,marcoshighquality,2.5,Ajuga chamaepitys
Ajuga.iva,Lamiaceae,2 to 6,NA,NA,"University of Córdoba, Córdoba(Spain)",NA,NA,NA,Greenhouse,Ruiz de Clavijo (1995). Int. J. Plant Sci. 158: 282-291.,NA,SC,0,Late May-Jul.,NA,NA,NA,marcoshighquality,4,Ajuga iva
Alcea.pallida(=A.biennis),Malvaceae,3.5,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,3.5,Alcea biennis
Alkanna.tinctoria,Boraginaceae,1,NA,0,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Alkanna tinctoria
Allium.neapolitanum,Amaryllidaceae,2.6,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,2.6,Allium neapolitanum
Allium.subhirsutum,Amaryllidaceae,3.9,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,3.9,Allium subhirsutum
Alstroemeria.aurea,Alstroemeriaceae,8.9,0.11817579,NA,"Otto, Nahuel Huapi NP (Argentina)",-41.13333333,-71.31666667,NA,Temperate forest,Aizén & Basilio (1995). Can. J. Bot. 73: 1986-1994.,NA,SC Xen,1,NA,NA,NA,Neuter phase between male and female phase,marcoshighquality marcoshighquality,8.9,Alstroemeria aurea
Alstroemeria.aurea,Alstroemeriaceae,7.8,0.101036297,NA,"Challhualco, Nahuel Huapi NP (Argentina)",-41.13333333,-71.31666667,NA,Temperate forest,Aizén & Basilio (1995). Can. J. Bot. 73: 1986-1994.,NA,NA,NA,NA,NA,NA,Neuter phase between male and female phase,marcoshighquality marcoshighquality,7.8,Alstroemeria aurea
Alstroemeria.umbellata,Alstroemeriaceae,9.2,0.213200716,3,Valle Nevado (Chile),-33.36037778,-70.25871389,2700,"Scree slopes, alpine",Arroyo et al. (In press). Alp. Bot. 132,NA,SC,1,NA,NA,NA,NA,marcoshighquality,9.2,Alstroemeria umbellata
Alternanthera.ficoidea,Amaranthaceae,1,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,1,NA,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,1,Alternanthera ficoidea
Alysicarpus.vaginalis,Fabaceae,1,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,0,Width of the standard and length of the keel are provided.,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,1,Alysicarpus vaginalis
Amborella.trichopoda,Amborellaceae,4 to 5,NA,NA,Col d'Amieu (New Caledonia),NA,NA,500 to 800,Rain forest,Thien et al. (2003). Ann. MO Bot. Gard. 90: 466-490.,NA,NA,0,Nov-Apr. D species. Data for males.,NA,NA,NA,marcoshighquality marcoshighquality,4.5,Amborella trichopoda
Amborella.trichopoda,Amborellaceae,1 to 2.8,NA,NA,NA,NA,NA,NA,NA,Thien et al. (2003). Ann. MO Bot. Gard. 90: 466-490.,NA,NA,0,Nov-Apr. D species. Data for females.,NA,NA,NA,marcoshighquality marcoshighquality,1.9,Amborella trichopoda
Anagallis.arvensis(=Lysimachia.arvensis),Primulaceae,1.2,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1.2,Lysimachia arvensis
Anaxagorea.brevipes,Annonaceae,2,NA,0,"Manaus, Manaus (Brazil)",NA,NA,NA,NA,Gottsberger (2016). Acta Bot. Brasil. 30: 313-325.,NA,NA,Thermogenesis,Sep-Dec.,NA,NA,NA,marcoshighquality,2,Anaxagorea brevipes
Anaxagorea.crassipetala,Annonaceae,1,NA,NA,"OTS field station, La Selva (Costa Rica)",NA,NA,NA,Primary rain forest,Armstrong & Marsh (1997). J. Torrey Bot. Soc. 124: 228-235.,NA,SC Xen,Fleshy petals,NA,NA,NA,Open at dawn,marcoshighquality,1,Anaxagorea crassipetala
Anaxagorea.crassipetala,Annonaceae,2,NA,0,"OTS field station, La Selva (Costa Rica)",NA,NA,NA,NA,Gottsberger (2016). Acta Bot. Brasil. 30: 313-325.,NA,SC,NA,Oct-Dec.,NA,NA,NA,marcoshighquality,2,Anaxagorea crassipetala
Anaxagorea.dolichocarpa,Annonaceae,2,NA,0,"Usina Sao José, Pernambuco (Brazil)",-7.791666667,-34.99166667,NA,Lowland rain forest,Braun & Gottsberger (2011). Phyton 51: 315-327.,NA,SC Xen,Thermogenesis,All year round.,NA,NA,NA,marcoshighquality,2,Anaxagorea dolichocarpa
Anaxagorea.dolichocarpa,Annonaceae,2,NA,0,"Usina Sao José, Pernambuco (Brazil)",-7.791666667,-34.99166667,NA,NA,Gottsberger (2016). Acta Bot. Brasil. 30: 313-325.,NA,SC,Thermogenesis,All year round.,NA,NA,NA,marcoshighquality,2,Anaxagorea dolichocarpa
Anaxagorea.manausensis,Annonaceae,2,NA,0,"Manaus, Manaus (Brazil)",NA,NA,NA,NA,Gottsberger (2016). Acta Bot. Brasil. 30: 313-325.,NA,NA,Thermogenesis,Sep-Dec.,NA,NA,NA,marcoshighquality,2,Anaxagorea manausensis
Anaxagorea.phaeocarpa,Annonaceae,2,NA,0,"Manaus, Manaus (Brazil)",NA,NA,NA,NA,Gottsberger (2016). Acta Bot. Brasil. 30: 313-325.,NA,SC,Thermogenesis,All year round.,NA,NA,NA,marcoshighquality,2,Anaxagorea phaeocarpa
Anaxagorea.prinoides,Annonaceae,2,NA,0,Nouragues NR (French Guiana),4.083333333,-52.68333333,NA,Primary rain forest,Gottsberger (2016). Acta Bot. Brasil. 30: 313-325.,NA,NA,NA,Sep-Oct.,NA,NA,NA,marcoshighquality,2,Anaxagorea prinoides
Anaxagorea.prinoides,Annonaceae,1.083333333,NA,1,Nourages NR (French Guiana) - Morph A,4.083333333,-52.68333333,NA,Primary rain forest,Teichert et al. (2011). Plant Syst. Evol. 291: 25-33.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoshighquality,1.083333333,Anaxagorea prinoides
Anaxagorea.prinoides,Annonaceae,0.875,NA,1,Nourages NR (French Guiana) - Morph B,NA,NA,NA,NA,Teichert et al. (2011). Plant Syst. Evol. 291: 25-33.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoshighquality,0.875,Anaxagorea prinoides
Anchusa.undulata,Boraginaceae,1,NA,0,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Anchusa undulata
Anchusa.variegata,Boraginaceae,2.5,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,2.5,Anchusa variegata
Anemone.coronaria,Ranunculaceae,14,NA,1,Daphni (Greece) - purple morph,38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoshighquality marcoscommunity marcoscommunity,14,Anemone coronaria
Anemone.coronaria,Ranunculaceae,8.5,NA,1,Daphni (Greece) - red morph,NA,NA,NA,NA,Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoshighquality marcoscommunity marcoscommunity,8.5,Anemone coronaria
Anemone.pavonina(=A.hortensis),Ranunculaceae,14.1,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,14.1,Anemone hortensis
Annona.crassiflora,Annonaceae,1 or 2,NA,0,"Brasilia Botanical Garden, Federal Capital (Brazil)",-15.86666667,-47.85,1025 to 1150,Cerrado,Oliveira & Gibbs (2000). Flora 195: 311-329.,NA,NA,0,NA,NA,NA,NA,marcoshighquality marcoscommunity,1.5,Annona crassiflora
Anthyllis.hermanniae,Fabaceae,3.8,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,3.8,Anthyllis hermanniae
Anthyllis.vulneraria,Fabaceae,4.5,0.3,3,Mt. Olympos (Greece)-1994,40.06666667,22.45,2600 to 2750,Alpine meadow and scree,Makrodimos et al. (2008). Flora 203: 449-468.,NA,NA,NA,Jun.,NA,NA,NA,marcoshighquality marcoscommunity,4.5,Anthyllis vulneraria
Anticlea.occidentalis,Melanthiaceae,11.9,0.491934955,NA,"Barrier Lake Field Station, Kananaskis Valley, Alberta (Canada)",51.05,-115.05,NA,Mixed boreal forest,Tomaszewski et al. (2018). Evolution 72: 2114-2128.,NA,SC,0,Jul. Am species. Data for h flowers.,NA,NA,NA,marcoshighquality,11.9,Anticlea occidentalis
Apinia.blepharocalyx (= A. roxburghii),Zingiberaceae,0.5,NA,0,"Caiyanghe NR, Yunnan (China)",22.5,101.3666667,1200,Monsoon evergreen broad-leaved forest,Zhang et al. (2003). Plant Syst. Evol. 241: 67-76.,NA,SC,1,Late Mar-late Apr. Flexistylous. Flower size from morph cata-.,NA,NA,Open before dawn,marcoshighquality,0.5,Apinia roxburghii
Apocynum.cannabinum,Apocynaceae,1.615384615,0.4,NA,"Lemon Hill, Philadelphia, Pennsilvania (USA)",NA,NA,NA,Early successional herbaceous communities,Livshultz et al. (2018) J Poll Ecol 22: 35-48.,NA,SI,1,NA,NA,NA,NA,marcoshighquality,1.615384615,Apocynum cannabinum
Arabis.alpina(=A.caucasica),Brassicaceae,5,NA,1,"2 sites at Valais, Alps (Switzerland)",46.38333333,7.625,2700,Alpine meadow,Fabbro & Körner (2004). Flora 199: 70-81.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality,5,Arabis caucasica
Ardisia.compressa,Primulaceae,2,NA,1,"Monteverde, Cordillera de Tilaran (Costa Rica)",NA,NA,1400 to 1500,Moist forest,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,2,Ardisia compressa
Arenaria.cretica,Caryophyllaceae,2.7,0.2,3,Mt. Olympos (Greece)-1993,40.06666667,22.45,2600 to 2750,Alpine meadow/scree,Makrodimos et al. (2008). Flora 203: 449-468.,NA,NA,NA,Jul.,NA,NA,NA,marcoshighquality marcoshighquality marcoscommunity marcoscommunity,2.7,Arenaria cretica
Arenaria.cretica,Caryophyllaceae,3.8,0.3,3,Mt. Olympos (Greece)-1994,NA,NA,NA,NA,Makrodimos et al. (2008). Flora 203: 449-468.,NA,NA,NA,Jul.,NA,NA,NA,marcoshighquality marcoshighquality marcoscommunity marcoscommunity,3.8,Arenaria cretica
Argythamnia.candicans,Euphorbiaceae,1,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,1,NA,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,1,Argythamnia candicans
Aristolochia.baetica,Aristolochiaceae,4.7 to 7.0,NA,NA,"Hinojos, Huelva (Spain)",37.28333333,-6.416666667,NA,Mediterranean forest,Berjano et al. (2009). Plant Biol. 11: 6-16.,NA,SC,0,Oct-Apr.,NA,NA,NA,marcoshighquality,5.85,Aristolochia baetica
Aristolochia.bianorii,Aristolochiaceae,3.103333333,0.090833333,3,"Cala Mesquida, Mallorca (Spain)",39.74428889,3.6006,Coastal,Rocky Mediterranean coast,Alpuente et al. (2023). Plant Biol. 25: 296-307.,NA,SC (IAS: 0.52; ISI: 0.74),0,Apr-Jul. Senior author confirms that error provided is SE.,NA,NA,NA,marcoshighquality,3.103333333,Aristolochia bianorii
Aristolochia.grandiflora,Aristolochiaceae,3,NA,1,"1 km from Los Tuxtlas BS, Veracruz (Mexico)",NA,NA,NA,Lowland rainforest,Burgess et al. (2004). Ann. MO Bot. Gard. 91: 346-356.,NA,NA,0,Al year round.,NA,NA,"By third day, decaying",marcoshighquality,3,Aristolochia grandiflora
Aristolochia.paucinervis,Aristolochiaceae,7.5,NA,NA,"Hinojos, Huelva (Spain)",37.28333333,-6.416666667,NA,Mediterranean forest,Berjano et al. (2009). Plant Biol. 11: 6-16.,NA,SC,0,Jan-Apr.,NA,NA,NA,marcoshighquality,7.5,Aristolochia paucinervis
Armeria.canescens,Plumbaginaceae,7,0.9,3,Mt. Olympos (Greece)-1994,40.06666667,22.45,2600 to 2750,Alpine meadow/scree,Makrodimos et al. (2008). Flora 203: 449-468.,NA,NA,NA,Jul.,NA,NA,NA,marcoshighquality marcoscommunity,7,Armeria canescens
Artabotrys.blumei,Annonaceae,1.125,NA,1,3 sites in Hong Kong (China),22.26666667,114.1833333,NA,Subtropical forest,Chen et al. (2020). Pl. Sp. Biol. 35: 210-223.,NA,SC,0,Corrdinates are roughtly middle points between the 3 sites at Hong Kong.,NA,NA,Open in the morning (9:30),marcoshighquality,1.125,Artabotrys blumei
Artabotrys.brachypetalus,Annonaceae,1.875,NA,1,4 sites at Kruger NP (South Africa),-21.36666667,31.11666667,NA,Dry woodlands and rocky outcrops,Chen et al. (2020). Pl. Sp. Biol. 35: 210-223.,NA,SC,0,Coordinates are roughly middle points between the 4 sites at Kruger NP.,NA,NA,Open in the afternoon (16:00),marcoshighquality,1.875,Artabotrys brachypetalus
Arthrostema.ciliatum,Melastomataceae,1,NA,0,"Monteverde, Cordillera de Tilaran (Costa Rica)",NA,NA,1400 to 1500,Moist forest,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Arthrostema ciliatum
Asclepias.curassavica,Apocynaceae,1+,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,1,NA,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,1,Asclepias curassavica
Asclepias.curassavica,Apocynaceae,6.6,NA,1,"Monteverde, Cordillera de Tilaran (Costa Rica)",NA,NA,1400 to 1500,Moist forest,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,6.6,Asclepias curassavica
Asclepias.speciosa,Apocynaceae,3 to 7,NA,NA,"Pullman, Washington (USA)",NA,NA,NA,"Cultivated field, roadsides",Bookman (1983). Ecology 64: 254-273.,NA,NA,1,Jun-Aug.,NA,NA,NA,marcoshighquality,5,Asclepias speciosa
Asimina.triloba,Annonaceae,(9)-15-16-(>19),NA,0,"Trelesase Wood, Urbana, Illinois (USA)",NA,NA,NA,Temperate forest,Willson & Schemske (1980). Bull. torrey Bot. Club 107: 401-408.,NA,NA,NA,Early spring.,NA,NA,NA,marcoshighquality marcoslowquality,15.5,Asimina triloba
Asparagus.acutifolius,Asparagaceae,1,NA,0,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Asparagus acutifolius
Asphodelus.aestivus,Xanthorrhoeaceae,0.541666667,NA,NA,12 sites in SW Iberian Peninsula (Portugal and Spain),NA,NA,NA,Stream sides,Díaz Lifante (1996) Plant Syst. Evol. 200:177-191.,NA,SC Xen,1,Jun-Sep.,NA,NA,Open in the morning,marcoshighquality,0.541666667,Asphodelus aestivus
Asphodelus.aestivus,Xanthorrhoeaceae,1,NA,0,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Asphodelus aestivus
Asphodelus ramosus (misident.as.A.aestivus),Xanthorrhoeaceae,1,NA,NA,"3 sites, 7 km E from Jerusalem (Israel)",NA,NA,300,Semi-arid scrubland,Schuster et al. (1993). New Phytol. 123: 165-174.,NA,SC Xen,1,Jan-Mar.,NA,NA,Open at dusk,marcoshighquality,1,Asphodelus ramosus
Aspidistra.xuanxonensis.var.xuansonensis,Asparagaceae,5 to 6,NA,NA,Xuan Son NP (Vietnam),NA,NA,NA,Tropical forest,Vislobokov et al. (2014). Amer. J. Bot. 101: 1519-1531.,NA,Unknown,NA,NA,NA,NA,NA,marcoshighquality,5.5,Aspidistra xuanxonensis var xuansonensis
Aspidosperma.macrocarpon,Apocynaceae,3 to many,NA,0,"Brasilia Botanical Garden, Federal Capital (Brazil)",-15.86666667,-47.85,1025 to 1150,Cerrado,Oliveira & Gibbs (2000). Flora 195: 311-329.,NA,SI,1,NA,NA,NA,NA,marcoshighquality marcoscommunity,3,Aspidosperma macrocarpon
Aspidosperma.tomentosum,Apocynaceae,3 to many,NA,0,"Brasilia Botanical Garden, Federal Capital (Brazil)",-15.86666667,-47.85,1025 to 1150,Cerrado,Oliveira & Gibbs (2000). Flora 195: 311-329.,NA,NA,1,NA,NA,NA,NA,marcoshighquality marcoscommunity,3,Aspidosperma tomentosum
Astragalus.depressus,Fabaceae,2.6,0.2,3,Mt. Olympos (Greece)-1994,40.06666667,22.45,2600 to 2750,Alpine meadow/scree,Makrodimos et al. (2008). Flora 203: 449-468.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,2.6,Astragalus depressus
Astragalus.monspessulanus,Fabaceae,1,NA,0,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Astragalus monspessulanus
Astrocaryum.vulgare,Arecaceae,0.666666667,NA,NA,CEIBA Biological Center (Guyana),6.499166667,-58.21833333,NA,Secondary tropical forest,Consiglio & Bourne (2001). J. Trop. Ecol. 17: 577-592.,NA,SC Fac xen,Thermogenesis,Late Apr-Aug. M species. Data for female flowers.,NA,NA,NA,marcoshighquality marcoshighquality,0.666666667,Astrocaryum vulgare
Astrocaryum.vulgare,Arecaceae,2,NA,NA,NA,NA,NA,NA,NA,Consiglio & Bourne (2001). J. Trop. Ecol. 17: 577-592.,NA,NA,Thermogenesis,Late Apr-Aug. M species. Data for male flowers.,NA,NA,NA,marcoshighquality marcoshighquality,2,Astrocaryum vulgare
Avicennia.germinans,Acanthaceae,1+,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Mangrove swamp,Percival (1974). Biotropica 6: 104-129.,NA,NA,1,NA,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,1,Avicennia germinans
Avicennia.marina.var.australasica,Acanthaceae,3.7,0.2,NA,"2 sites at Jarvis Bay, New South Wales (Australia)",-35.01666667,150.225,0,Mangrove swamp,Clarke & Myerscough (1991). Aust. J. Bot. 39: 283-293.,NA,SC Xen,1,Jan-Mar/Jun. Coordinates are the average of both sites. Flower measurements from Drake (1991). Aust. Syst. Bot. 3: 221-239.,3.8,0.2,NA,marcoshighquality,3.7,Avicennia marina var australasica
Balanophora.fungosa ssp.indica,Balanophoraceae,2 to 5,NA,NA,Xuan Son NP (Vietnam),21.11555,104.94385,NA,Tropical forest,Vislobokov & Galinskaya (2018). Int. J. Plant Sci. 179: 341-349.,NA,NA,NA,D species. Data for males.,NA,NA,Open at night,marcoshighquality,3.5,Balanophora fungosa ssp indica
Balanophora.harlandii,Balanophoraceae,1,NA,NA,Xuan Son NP (Vietnam),21.11515,104.9426667,NA,Tropical forest,Vislobokov & Galinskaya (2018). Int. J. Plant Sci. 179: 341-349.,NA,NA,NA,D species. Data for males.,NA,NA,Open at night,marcoshighquality,1,Balanophora harlandii
Ballota.acetabulosa,Lamiaceae,1.4,0.13,3,Daphni (Greece),NA,NA,135 to 215,Mediterranean scrubland,Petanidou & Vokou (1993). Amer. J. Bot. 80: 892-899.,NA,NA,1,NA,NA,NA,NA,marcoshighquality,1.4,Ballota acetabulosa
Bartsia.alpina,Orobanchaceae,5.8,0.2,3,Abisko (Sweden),68.35,18.81666667,400,Subarctic tundra,Molau (1991). Amer. J. Bot. 78: 326-339.,NA,SC,NA,June.,NA,NA,NA,marcoshighquality,5.8,Bartsia alpina
Bauhinia.divaricata,Fabaceae,1,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,1,Am species. Data for hermaphrodites.,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,1,Bauhinia divaricata
Begonia.gracilis,Begoniaceae,4.9,0.1,3,"Pedregal de San Ángel EP, Mexico city (Mexico)",NA,NA,NA,NA,López & Domínguez (2003). J. Evol. Biol. 16: 1177-1185.,NA,SC Xen,NA,Aug-Oct. M species. Data for male flowers.,NA,NA,NA,marcoshighquality marcoshighquality,4.9,Begonia gracilis
Begonia.gracilis,Begoniaceae,3.6,0.1,3,NA,NA,NA,NA,NA,López & Domínguez (2003). J. Evol. Biol. 16: 1177-1185.,NA,SC Xen,NA,Aug-Oct. M species. Data for female flowers.,NA,NA,NA,marcoshighquality marcoshighquality,3.6,Begonia gracilis
Bellardia.trixago,Orobanchaceae,1.7,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1.7,Bellardia trixago
Bellis.annua,Asteraceae,1.4,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1.4,Bellis annua
Besleria.formosa,Gesneriaceae,2.6,NA,1,"Monteverde, Cordillera de Tilaran (Costa Rica)",NA,NA,1500 to 1650,Cloud forest,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,2.6,Besleria formosa
Besleria.solanoides,Gesneriaceae,4.1,NA,1,"Monteverde, Cordillera de Tilaran (Costa Rica)",NA,NA,1400 to 1500,Moist forest,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,4.1,Besleria solanoides
